Merchant SKU ID,SKU Name (Chi),StockLevel,Brand Name (CHI),Online Status
B0961005_S_302993925040,抗菌潔膚皂 4.5oz【香港行貨】【最佳使用日期:06/2028】,5,舒特膚,online
B0961005_S_3499320003919,倍加護醫學濕疹配方 – 潤膚霜 295ml【香港行貨】【最佳使用日期:09/2028】,19,舒特膚,online
B0961005_S_3499320003926,倍加護醫學濕疹配方 – 潔膚露 295ml【香港行貨】【最佳使用日期:07/2028】,11,舒特膚,online
B0961005_S_3499320009881,溫和舒敏潔面泡沫 236ml【香港行貨】【最佳使用日期:01/2028】,4,舒特膚,online
B0961005_S_3499320012522,潤膚膏 100g【香港行貨】【最佳使用日期:11/2028】,0,舒特膚,online
B0961005_S_3499320017169,嬰兒舒敏潤膚乳霜 566g【香港行貨】【最佳使用日期:01/2029】,7,舒特膚,online
B0961005_S_3499320017947,Ceramide 抗炎修復乳霜 473ml【香港行貨】【最佳使用日期:05/2028】,12,舒特膚,online
B0961005_S_3663555004649,Mederma美德瑪晚間修護除疤膏 20克【最佳使用日期:07/2028】,3,美德瑪,offline
B0961005_S_3925799,好利寶鋅膏 150mg/g 【最佳使用日期:03/2028】,9,Hong Kong,online
B0961005_S_4562282910034,強骼素60粒【最佳使用日期:11/2028】,0,日本命力,online
B0961005_S_4562282910201,強心素60粒【最佳使用日期:06/2028】,5,日本命力,online
B0961005_S_4570079960254,回本肝機能再生配方60粒【最佳使用日期:07/2028】,0,Return 回本,online
B0961005_S_4570079960407,回本漢方研美祛濕S 60粒【最佳使用日期:11/2028】,0,Return 回本,online
B0961005_S_4570079960421,日本大學鹿角靈芝60粒【最佳使用日期:04/2028】,0,Return 回本,online
B0961005_S_4787176311030,去屑洗髮露 (小蒼蘭) 680ml 【最佳使用日期: 04/07/2028】,6,海倫仙度絲,online
B0961005_S_4787176311030_6,(原箱) 去屑洗髮露 (小蒼蘭) 680ml x 6支 【最佳使用日期: 04/07/2028】,2,海倫仙度絲,online
B0961005_S_4890008001637_24,(原箱) 冷萃台灣蜜香紅茶(無糖) 500ml x 24支【最佳使用日期:11/2026】,14,淳茶舍,online
B0961005_S_4890008003167_24,(原箱) 烏龍茶飲料 (無糖) 500ml x 24支【最佳使用日期:03/2027】,2,淳茶舍,online
B0961005_S_4890008100309_24,(原箱) 罐裝 330ml x 24罐【最佳使用日期:04/2027】,269,可口可樂,online
B0961005_S_4890008100361_24,(原箱) 迷你罐裝可樂 200ml x 24罐【最佳使用日期:03/2027】,153,可口可樂,online
B0961005_S_4890008101306_24,(原箱) Plus-膳食纖維無糖可樂330ml x 24罐【最佳使用日期:12/2026】,41,可口可樂,online
B0961005_S_4890008108305_24,(原箱) 罐裝檸檬味可口可樂汽水 330ml x 24罐【最佳使用日期:04/2027】新舊包裝隨機出貨,24,可口可樂,online
B0961005_S_4890008109302_24,(原箱) (零系) 罐裝330ml x 24罐【最佳使用日期:01/2027】,77,可口可樂,online
B0961005_S_4890008109364_24,(原箱) 可樂零系無糖 (迷你罐裝) 200ml x 24罐【最佳使用日期:12/2026】,157,可口可樂,online
B0961005_S_4890008110308_24,(原箱) (檸檬青檸味汽水) 330ml x 24罐【最佳使用日期:04/2027】,18,雪碧,online
B0961005_S_4890008110360_24,(原箱) 迷你罐裝檸檬青檸味汽水 200ml x 24罐【最佳使用日期:04/2027】,4,雪碧,online
B0961005_S_4890008120307_24,(原箱) (橙味汽水) 330ml x 24罐【最佳使用日期:04/2027】,0,芬達,online
B0961005_S_4890008120369_24,(原箱) 橙味汽水(迷你罐裝) 200ml x 24罐【最佳使用日期:04/2027】,14,芬達,online
B0961005_S_4890008123308_24,(原箱) 提子味汽水330ml x 24罐【最佳使用日期:04/2027】,4,芬達,online
B0961005_S_4890008150502_24,(原箱) 礦物質水770ml x 24支【最佳使用日期:04/2027】,0,飛雪,online
B0961005_S_4890008150519_24,(原箱) 礦物質水500ml x 24支【最佳使用日期:04/2027】,108,飛雪,online
B0961005_S_4890008150557_12,(原箱) 礦物質水1.5L x 12支【最佳使用日期:04/2027】,0,飛雪,online
B0961005_S_4890008400300_24,(原箱) 玉泉 忌廉罐裝330ml x 24罐【最佳使用日期:04/2027】,13,可口可樂,online
B0961005_S_4890008400362_24,(原箱) 玉泉迷你罐裝忌廉 200ml x 24罐【最佳使用日期:04/2027】,21,可口可樂,online
B0961005_S_4890008402304_24,(原箱) 玉泉罐裝梳打水 330ml x 24罐【最佳使用日期:03/2027】,0,可口可樂,online
B0961005_S_4890008402366_24,(原箱) 玉泉梳打水(迷你) 200ml x 24罐【最佳使用日期:03/2027】,91,可口可樂,online
B0961005_S_4890008403363_24,(原箱) 玉泉湯力水(迷你罐裝) 200ml x 24罐【最佳使用日期:04/2027】,6,可口可樂,online
