﻿Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/06/19
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,302993925040,Y,B0961005_S_302993925040,Antibacterial Bar Soap 4.5oz【Best Before:06/2028】,抗菌潔膚皂 4.5oz【香港行貨】【最佳使用日期:06/2028】,B096100591,12,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,180,90,90,4.5oz,4.5oz,AA13101050001,潔面皂,HKD,49.9,34.9,30.06012, , , , , , ,
B0961005,3499320003919,Y,B0961005_S_3499320003919,Pro AD Derma Skin Restoring Moisturizer 295ml【Best Before:09/2028】,倍加護醫學濕疹配方 – 潤膚霜 295ml【香港行貨】【最佳使用日期:09/2028】,B096100591,11,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,160,80,80,295ml,295毫升,AA28320505001,乳霜 潤膚膏,HKD,299.0,199.0,33.44482, , , , , , ,
B0961005,3499320003926,Y,B0961005_S_3499320003926,Pro AD Derma Skin Restoring Wash 295ml【Best Before:07/2028】,倍加護醫學濕疹配方 – 潔膚露 295ml【香港行貨】【最佳使用日期:07/2028】,B096100591,11,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,160,80,80,295ml,295毫升,AA28120505001,嬰兒沐浴露 沐浴啫喱,HKD,278.8,199.0,28.62267, , , , , , ,
B0961005,3499320009881,Y,B0961005_S_3499320009881,Gentle Foaming Cleanser 236ml【Best Before:01/2028】,溫和舒敏潔面泡沫 236ml【香港行貨】【最佳使用日期:01/2028】,B096100591,11,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,160,80,80,236ml,236毫升,AA13201810101,潔面泡沫,HKD,110.0,85.0,22.72727, , , , , , ,
B0961005,3499320012522,Y,B0961005_S_3499320012522,Moisturizing Cream 100g【Best Before:11/2028】,潤膚膏 100g【香港行貨】【最佳使用日期:11/2028】,B096100591,9,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,160,50,50,100g,100克,AA28320505001,乳霜 潤膚膏,HKD,134.0,75.0,44.02985, , , , , , ,
B0961005,3499320017169,Y,B0961005_S_3499320017169,Baby Soothing Moisturising Cream 566g【Best Before:01/2029】,嬰兒舒敏潤膚乳霜 566g【香港行貨】【最佳使用日期:01/2029】,B096100591,11,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,150,100,100,566g,566克,AA28320505001,乳霜 潤膚膏,HKD,288.0,149.0,48.26389, , , , , , ,
B0961005,3499320017947,Y,B0961005_S_3499320017947,Ceramide Repair Lotion 473ml【Best Before:05/2028】,Ceramide 抗炎修復乳霜 473ml【香港行貨】【最佳使用日期:05/2028】,B096100591,12,online,N,N,09-Jun-2026,,Cetaphil,舒特膚,180,100,100,473ml,473毫升,AA28320505001,乳霜 潤膚膏,HKD,259.0,189.0,27.02703, , , , , , ,
B0961005,3663555004649,Y,B0961005_S_3663555004649,Mederma Advanced Scar Gel Night 20g【Best Before:07/2028】,Mederma美德瑪晚間修護除疤膏 20克【最佳使用日期:07/2028】,B096100591,3,offline,N,N,05-Jun-2026,06-Jun-2026,Mederma,美德瑪,45,140,35,,,AA13407000001,疤痕護理,HKD,228.0,148.0,35.08772, , , , , , ,
B0961005,4562282910034,Y,B0961005_S_4562282910034,Japan Bone Support 60 Capsules【Best Before:11/2028】,強骼素60粒【最佳使用日期:11/2028】,B096100591,0,online,N,N,05-Jun-2026,01-Jan-2099,Meiriki,日本命力,65,115,65,,,AA13302600001,骨骼 關節,HKD,448.0,305.0,31.91964, , , , , , ,
B0961005,4562282910201,Y,B0961005_S_4562282910201,Japan Heart Support 60 Capsules【Best Before:06/2028】,強心素60粒【最佳使用日期:06/2028】,B096100591,10,online,N,N,05-Jun-2026,01-Jan-2099,Meiriki,日本命力,65,115,65,,,AA13300600001,心臟血管健康,HKD,570.0,399.0,30.0, , , , , , ,
